iter	Passed	Remaining
0	6	6602
1	17	8493
2	28	9589
3	35	8890
4	44	8785
5	52	8735
6	61	8714
7	68	8440
8	76	8448
9	87	8695
10	108	9720
11	121	9966
12	132	10044
13	142	10023
14	148	9741
15	158	9761
16	165	9577
17	176	9641
18	190	9815
19	194	9549
20	205	9575
21	210	9338
22	218	9274
23	224	9141
24	232	9076
25	248	9312
26	257	9277
27	265	9230
28	270	9069
29	277	8977
30	282	8823
31	286	8676
32	291	8553
33	298	8489
34	303	8375
35	312	8358
36	316	8246
37	321	8141
38	326	8045
39	333	8008
40	340	7975
41	345	7882
42	350	7795
43	354	7708
44	359	7627
45	365	7575
46	370	7503
47	378	7498
48	382	7429
49	390	7423
50	397	7403
51	402	7338
52	414	7412
53	423	7413
54	432	7438
55	438	7390
56	442	7325
57	447	7270
58	452	7213
59	459	7198
60	463	7140
61	469	7108
62	477	7107
63	482	7054
64	489	7036
65	495	7007
66	501	6977
67	506	6948
68	512	6921
69	519	6895
70	525	6876
71	531	6848
72	537	6821
73	542	6786
74	546	6743
75	554	6738
76	560	6713
77	566	6692
78	570	6651
79	583	6709
80	591	6706
81	597	6688
82	603	6662
83	607	6628
84	613	6602
85	617	6565
86	625	6561
87	633	6566
88	642	6572
89	650	6577
90	667	6669
91	675	6662
92	684	6671
93	691	6660
94	698	6655
95	716	6749
96	724	6740
97	730	6724
98	737	6713
99	743	6691
100	748	6665
101	753	6631
102	766	6671
103	773	6667
104	779	6647
105	794	6698
106	801	6692
107	809	6684
108	814	6658
109	822	6655
110	830	6653
111	835	6621
112	840	6601
113	849	6605
114	857	6596
115	861	6566
116	865	6533
117	870	6504
118	874	6474
119	887	6506
120	894	6501
121	901	6489
122	908	6479
123	915	6467
124	922	6459
125	936	6493
126	942	6481
127	949	6468
128	955	6450
129	961	6431
130	966	6411
131	972	6393
132	977	6374
133	983	6355
134	989	6338
135	995	6324
136	1001	6309
137	1005	6279
138	1010	6259
139	1016	6242
140	1021	6224
141	1027	6209
142	1037	6220
143	1043	6204
144	1048	6182
145	1052	6158
146	1057	6134
147	1061	6112
148	1066	6089
149	1072	6076
150	1076	6054
151	1089	6079
152	1099	6087
153	1107	6084
154	1115	6081
155	1122	6074
156	1127	6053
157	1131	6031
158	1135	6007
159	1140	5985
160	1144	5963
161	1148	5942
162	1152	5920
163	1157	5901
164	1162	5882
165	1166	5861
166	1171	5841
167	1176	5828
168	1182	5815
169	1189	5808
170	1193	5788
171	1198	5769
172	1215	5812
173	1223	5806
174	1230	5798
175	1234	5781
176	1239	5764
177	1243	5744
178	1248	5725
179	1256	5721
180	1262	5710
181	1267	5698
182	1275	5692
183	1279	5676
184	1284	5656
185	1288	5638
186	1293	5625
187	1298	5606
188	1303	5591
189	1307	5572
190	1312	5559
191	1317	5543
192	1321	5525
193	1325	5508
194	1330	5491
195	1335	5477
196	1339	5459
197	1344	5444
198	1348	5427
199	1352	5411
200	1360	5409
201	1365	5392
202	1369	5377
203	1374	5361
204	1378	5345
205	1383	5331
206	1387	5315
207	1392	5303
208	1397	5288
209	1403	5278
210	1408	5267
211	1414	5258
212	1420	5250
213	1426	5237
214	1431	5224
215	1436	5214
216	1441	5199
217	1445	5186
218	1452	5180
219	1468	5205
220	1478	5211
221	1490	5223
222	1507	5251
223	1520	5268
224	1540	5306
225	1552	5316
226	1562	5322
227	1568	5312
228	1577	5311
229	1584	5305
230	1591	5299
231	1597	5286
232	1602	5275
233	1618	5297
234	1629	5304
235	1639	5308
236	1647	5304
237	1657	5305
238	1664	5301
239	1673	5298
240	1680	5293
241	1690	5293
242	1697	5288
243	1705	5283
244	1711	5275
245	1718	5268
246	1725	5260
247	1732	5252
248	1739	5247
249	1746	5240
250	1754	5234
251	1761	5227
252	1767	5219
253	1774	5211
254	1781	5205
255	1789	5200
256	1796	5194
257	1803	5188
258	1815	5194
259	1823	5188
260	1832	5187
261	1840	5183
262	1850	5186
263	1858	5180
264	1865	5174
265	1870	5161
266	1876	5152
267	1890	5162
268	1901	5166
269	1908	5161
270	1914	5150
271	1920	5141
272	1926	5128
273	1933	5121
274	1938	5109
275	1945	5104
276	1950	5092
277	1955	5078
278	1961	5069
279	1968	5060
280	1975	5054
281	1980	5042
282	1985	5029
283	1989	5016
284	1998	5013
285	2003	5002
286	2009	4992
287	2015	4983
288	2020	4971
289	2026	4962
290	2033	4954
291	2039	4944
292	2044	4932
293	2049	4920
294	2053	4908
295	2059	4899
296	2066	4891
297	2071	4880
298	2078	4872
299	2083	4861
300	2088	4851
301	2093	4839
302	2100	4831
303	2106	4822
304	2111	4810
305	2115	4798
306	2122	4791
307	2127	4779
308	2133	4770
309	2138	4760
310	2143	4748
311	2148	4737
312	2155	4731
313	2160	4720
314	2167	4713
315	2174	4706
316	2187	4712
317	2197	4712
318	2205	4707
319	2210	4697
320	2215	4686
321	2220	4675
322	2235	4686
323	2245	4685
324	2251	4676
325	2257	4666
326	2265	4661
327	2273	4657
328	2282	4654
329	2286	4643
330	2291	4631
331	2297	4621
332	2303	4613
333	2309	4604
334	2322	4609
335	2330	4605
336	2340	4604
337	2346	4596
338	2353	4588
339	2360	4582
340	2365	4571
341	2373	4567
342	2380	4559
343	2384	4548
344	2392	4541
345	2396	4530
346	2401	4519
347	2407	4509
348	2412	4499
349	2417	4489
350	2421	4478
351	2427	4468
352	2441	4474
353	2447	4466
354	2452	4455
355	2460	4450
356	2464	4439
357	2469	4428
358	2476	4421
359	2483	4415
360	2488	4404
361	2492	4393
362	2508	4401
363	2517	4398
364	2524	4391
365	2530	4383
366	2535	4372
367	2541	4364
368	2547	4356
369	2555	4352
370	2561	4343
371	2566	4332
372	2573	4326
373	2580	4318
374	2593	4322
375	2602	4319
376	2607	4309
377	2614	4301
378	2619	4292
379	2624	4282
380	2631	4276
381	2636	4265
382	2641	4255
383	2647	4247
384	2653	4238
385	2658	4229
386	2663	4218
387	2668	4208
388	2673	4199
389	2679	4191
390	2685	4182
391	2689	4171
392	2693	4160
393	2701	4154
394	2705	4144
395	2710	4134
396	2717	4127
397	2721	4117
398	2726	4106
399	2731	4097
400	2737	4089
401	2742	4079
402	2749	4073
403	2756	4065
404	2760	4055
405	2765	4045
406	2770	4036
407	2774	4025
408	2781	4019
409	2786	4009
410	2790	3999
411	2796	3991
412	2801	3981
413	2805	3971
414	2812	3964
415	2818	3956
416	2822	3946
417	2834	3946
418	2843	3943
419	2851	3938
420	2858	3931
421	2864	3923
422	2868	3912
423	2874	3905
424	2879	3895
425	2885	3887
426	2891	3880
427	2896	3871
428	2901	3861
429	2908	3855
430	2913	3846
431	2920	3839
432	2925	3830
433	2931	3823
434	2936	3813
435	2941	3804
436	2950	3800
437	2956	3793
438	2961	3784
439	2965	3774
440	2971	3766
441	2975	3756
442	2981	3749
443	2988	3742
444	2992	3732
445	2997	3723
446	3002	3714
447	3007	3705
448	3011	3695
449	3018	3689
450	3031	3690
451	3039	3685
452	3044	3675
453	3048	3666
454	3058	3663
455	3063	3654
456	3068	3646
457	3073	3636
458	3078	3628
459	3083	3619
460	3089	3612
461	3094	3603
462	3101	3596
463	3105	3587
464	3112	3581
465	3118	3573
466	3124	3566
467	3129	3557
468	3135	3550
469	3141	3542
470	3148	3536
471	3154	3529
472	3160	3521
473	3165	3512
474	3170	3504
475	3174	3494
476	3180	3487
477	3185	3478
478	3191	3470
479	3196	3462
480	3201	3454
481	3210	3450
482	3214	3441
483	3219	3432
484	3226	3425
485	3231	3417
